table_label,dataset,k,selector,metric,stat,seed,paper_value,source_value,delta,status,source_id
tab:per_seed_main_nlp,MRPC,2,Magnitude,accuracy,se,,4.88,4.88314,0.00314,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,seed,0,62.13,62.125341,0.004659,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,seed,1,64.31,64.305177,0.004823,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,seed,2,45.23,45.231608,0.001608,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,seed,3,62.4,62.39782,0.00218,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,mean,,58.51,58.514986,0.004986,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,2,URS,accuracy,se,,4.45,4.454263,0.004263,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,seed,0,66.49,66.485014,0.004986,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,seed,1,68.94,68.93733,0.00267,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,seed,2,51.5,51.498638,0.001362,MATCH,per_seed_main_nlp
tab:per_seed_main_nlp,MRPC,4,Magnitude,accuracy,seed,3,66.76,66.757493,0.002507,MATCH,per_seed_main_nlp
